"","method","variate","design","number","RMSE"
"88","exhaustive_test","AGB","clusterMedium",38,30.9412087311914
"89","exhaustive_test","AGB","clusterMedium",39,31.8878277434473
"90","exhaustive_test","AGB","clusterMedium",40,31.051450786447
"91","exhaustive_test","AGB","clusterMedium",41,31.5109395108242
"92","exhaustive_test","AGB","clusterMedium",42,31.2496626060207
"93","exhaustive_test","AGB","clusterMedium",43,30.6725406251413
"94","exhaustive_test","AGB","clusterMedium",44,33.0894726589666
"95","exhaustive_test","AGB","clusterMedium",45,31.2985510413504
"96","exhaustive_test","AGB","clusterMedium",46,32.1411804645547
"97","exhaustive_test","AGB","clusterMedium",47,32.100016288158
"98","exhaustive_test","AGB","clusterMedium",48,31.1634235926178
"99","exhaustive_test","AGB","clusterMedium",49,31.2840362308221
"100","exhaustive_test","AGB","clusterMedium",50,32.1442074360366
"101","exhaustive_test","AGB","clusterStrong",1,35.7963162367161
"102","exhaustive_test","AGB","clusterStrong",2,32.2540543244309
"103","exhaustive_test","AGB","clusterStrong",3,34.9177417445622
"104","exhaustive_test","AGB","clusterStrong",4,33.8993900615924
"105","exhaustive_test","AGB","clusterStrong",5,35.1522154437012
"106","exhaustive_test","AGB","clusterStrong",6,32.8310149428162
"107","exhaustive_test","AGB","clusterStrong",7,33.566192108041
"108","exhaustive_test","AGB","clusterStrong",8,33.8088809274384
"109","exhaustive_test","AGB","clusterStrong",9,34.1220008542444
"110","exhaustive_test","AGB","clusterStrong",10,35.0251225899636
"111","exhaustive_test","AGB","clusterStrong",11,33.9566823847832
"112","exhaustive_test","AGB","clusterStrong",12,35.3100317022488
"113","exhaustive_test","AGB","clusterStrong",13,31.7408216622982
"114","exhaustive_test","AGB","clusterStrong",14,33.7937919577531
"115","exhaustive_test","AGB","clusterStrong",15,35.9883446807199
"116","exhaustive_test","AGB","clusterStrong",16,32.9172935998088
"117","exhaustive_test","AGB","clusterStrong",17,36.3142537123319
"118","exhaustive_test","AGB","clusterStrong",18,33.560514562111
"119","exhaustive_test","AGB","clusterStrong",19,32.7512494001567
"120","exhaustive_test","AGB","clusterStrong",20,38.3994054633256
"121","exhaustive_test","AGB","clusterStrong",21,34.7686821036219
"122","exhaustive_test","AGB","clusterStrong",22,34.0555566566883
"123","exhaustive_test","AGB","clusterStrong",23,32.3829346942532
"124","exhaustive_test","AGB","clusterStrong",24,33.0231950698956
"125","exhaustive_test","AGB","clusterStrong",25,32.0558958155918
"126","exhaustive_test","AGB","clusterStrong",26,32.5087774682682
"127","exhaustive_test","AGB","clusterStrong",27,33.0811360038465
"128","exhaustive_test","AGB","clusterStrong",28,33.6203691857719
"129","exhaustive_test","AGB","clusterStrong",29,34.0293347342799
"130","exhaustive_test","AGB","clusterStrong",30,33.0765637639158
"131","exhaustive_test","AGB","clusterStrong",31,34.1862177027268
"132","exhaustive_test","AGB","clusterStrong",32,31.854367506932
"133","exhaustive_test","AGB","clusterStrong",33,33.7271690208322
"134","exhaustive_test","AGB","clusterStrong",34,34.4988912472003
"135","exhaustive_test","AGB","clusterStrong",35,33.3448633587942
"136","exhaustive_test","AGB","clusterStrong",36,33.929564649435
"137","exhaustive_test","AGB","clusterStrong",37,33.145582728714
"138","exhaustive_test","AGB","clusterStrong",38,34.4596606751793
"139","exhaustive_test","AGB","clusterStrong",39,33.0151135626421
"140","exhaustive_test","AGB","clusterStrong",40,32.4803214932843
"141","exhaustive_test","AGB","clusterStrong",41,34.4660348185114
"142","exhaustive_test","AGB","clusterStrong",42,33.6310199321526
"143","exhaustive_test","AGB","clusterStrong",43,36.9826974405849
"144","exhaustive_test","AGB","clusterStrong",44,32.0827324506784
"145","exhaustive_test","AGB","clusterStrong",45,34.1048912536114
"146","exhaustive_test","AGB","clusterStrong",46,32.7878894429485
"147","exhaustive_test","AGB","clusterStrong",47,33.7899568107671
"148","exhaustive_test","AGB","clusterStrong",48,32.9683414805687
"149","exhaustive_test","AGB","clusterStrong",49,35.7071472518908
"150","exhaustive_test","AGB","clusterStrong",50,33.3782671445559
"151","exhaustive_test","AGB","regular",1,30.6670858836567
"152","exhaustive_test","AGB","regular",2,31.3911907574375
"153","exhaustive_test","AGB","regular",3,31.5200276742367
"154","exhaustive_test","AGB","regular",4,31.3622547189685
"155","exhaustive_test","AGB","regular",5,31.4458874432013
"156","exhaustive_test","AGB","regular",6,32.2755299337075
"157","exhaustive_test","AGB","regular",7,31.4780869377104
"158","exhaustive_test","AGB","regular",8,32.2371660022575
"159","exhaustive_test","AGB","regular",9,31.5779797850808
"160","exhaustive_test","AGB","regular",10,31.0937890994792
"161","exhaustive_test","AGB","regular",11,31.8421480125414
"162","exhaustive_test","AGB","regular",12,31.8228353914058
"163","exhaustive_test","AGB","regular",13,32.2684905362523
"164","exhaustive_test","AGB","regular",14,31.2701464496992
"165","exhaustive_test","AGB","regular",15,31.2915495964998
"166","exhaustive_test","AGB","regular",16,31.5808809447019
"167","exhaustive_test","AGB","regular",17,31.6638467302742
"168","exhaustive_test","AGB","regular",19,31.4939840964294
"169","exhaustive_test","AGB","regular",20,31.7696593205881
"170","exhaustive_test","AGB","regular",21,31.9009065455585
"171","exhaustive_test","AGB","regular",22,31.206408061882
"172","exhaustive_test","AGB","regular",23,31.4655654867272
"173","exhaustive_test","AGB","regular",24,31.8323224101177
"174","exhaustive_test","AGB","regular",25,32.9350416392267
"175","exhaustive_test","AGB","regular",26,31.4618253283445
"176","exhaustive_test","AGB","regular",27,31.2812390347481
"177","exhaustive_test","AGB","regular",28,32.0864149753645
"178","exhaustive_test","AGB","regular",29,30.4560757318805
"179","exhaustive_test","AGB","regular",30,31.9297287907505
"180","exhaustive_test","AGB","regular",31,32.2875122290817
"181","exhaustive_test","AGB","regular",32,31.2037867641566
"182","exhaustive_test","AGB","regular",33,31.8557606325728
"183","exhaustive_test","AGB","regular",34,33.2261315385374
"184","exhaustive_test","AGB","regular",35,31.1973817660654
"185","exhaustive_test","AGB","regular",36,32.8148259595499
"186","exhaustive_test","AGB","regular",37,31.1076305501481
"187","exhaustive_test","AGB","regular",38,31.4881311347307
"188","exhaustive_test","AGB","regular",39,32.8177764283597
"189","exhaustive_test","AGB","regular",40,30.9243463235129
"190","exhaustive_test","AGB","regular",41,31.5912913685427
"191","exhaustive_test","AGB","regular",42,31.2992496660178
"192","exhaustive_test","AGB","regular",43,30.9129829589141
"193","exhaustive_test","AGB","regular",44,30.7468220447939
"194","exhaustive_test","AGB","regular",45,31.1434183793694
"195","exhaustive_test","AGB","regular",46,30.8084284028358
"196","exhaustive_test","AGB","regular",47,31.2492414677676
"197","exhaustive_test","AGB","regular",48,33.0356397270122
"198","exhaustive_test","AGB","regular",49,30.4841754580362
"199","exhaustive_test","AGB","regular",50,31.4276005666784
"200","exhaustive_test","AGB","simpleRandom",1,31.5319296493265
"201","exhaustive_test","AGB","simpleRandom",2,32.0558129754365
"202","exhaustive_test","AGB","simpleRandom",3,31.1999556418291
"203","exhaustive_test","AGB","simpleRandom",4,31.7079501415837
"204","exhaustive_test","AGB","simpleRandom",5,31.7391593178597
"205","exhaustive_test","AGB","simpleRandom",6,31.3868464809791
"206","exhaustive_test","AGB","simpleRandom",7,32.5290235300413
"207","exhaustive_test","AGB","simpleRandom",8,31.7033446286269
"208","exhaustive_test","AGB","simpleRandom",9,32.4718897878699
"209","exhaustive_test","AGB","simpleRandom",10,31.4951982734299
"210","exhaustive_test","AGB","simpleRandom",11,31.1885825019653
"211","exhaustive_test","AGB","simpleRandom",12,31.8794920556025
"212","exhaustive_test","AGB","simpleRandom",13,31.7194837144783
"213","exhaustive_test","AGB","simpleRandom",14,31.9664457115702
"214","exhaustive_test","AGB","simpleRandom",15,32.0933948106372
"215","exhaustive_test","AGB","simpleRandom",16,30.8471692982532
"216","exhaustive_test","AGB","simpleRandom",17,32.6152003346409
"217","exhaustive_test","AGB","simpleRandom",19,32.2305986043174
"218","exhaustive_test","AGB","simpleRandom",20,30.9062558621459
"219","exhaustive_test","AGB","simpleRandom",21,31.607241447571
"220","exhaustive_test","AGB","simpleRandom",22,32.1857681436636
"221","exhaustive_test","AGB","simpleRandom",23,31.0527843995496
"222","exhaustive_test","AGB","simpleRandom",24,30.5551118896
"223","exhaustive_test","AGB","simpleRandom",25,32.6412082336306
"224","exhaustive_test","AGB","simpleRandom",26,31.229395075875
"225","exhaustive_test","AGB","simpleRandom",27,31.0386216977695
"226","exhaustive_test","AGB","simpleRandom",28,31.5037681260651
"227","exhaustive_test","AGB","simpleRandom",29,31.6234443985054
"228","exhaustive_test","AGB","simpleRandom",30,32.4554109591031
"229","exhaustive_test","AGB","simpleRandom",31,31.112581750666
"230","exhaustive_test","AGB","simpleRandom",32,31.7485126699057
"231","exhaustive_test","AGB","simpleRandom",33,32.002074816096
"232","exhaustive_test","AGB","simpleRandom",34,31.002858740874
"233","exhaustive_test","AGB","simpleRandom",35,31.6065140857814
"234","exhaustive_test","AGB","simpleRandom",36,32.2134838772845
"235","exhaustive_test","AGB","simpleRandom",37,31.1838442455956
"236","exhaustive_test","AGB","simpleRandom",38,31.261336167933
"237","exhaustive_test","AGB","simpleRandom",39,32.7343357633045
"238","exhaustive_test","AGB","simpleRandom",40,31.6444350995674
"239","exhaustive_test","AGB","simpleRandom",41,32.2277743974817
"240","exhaustive_test","AGB","simpleRandom",42,31.6974065363149
"241","exhaustive_test","AGB","simpleRandom",43,31.7894723569766
"242","exhaustive_test","AGB","simpleRandom",44,31.2748130192164
"243","exhaustive_test","AGB","simpleRandom",45,31.0774026247611
"244","exhaustive_test","AGB","simpleRandom",46,30.7764595423179
"245","exhaustive_test","AGB","simpleRandom",47,33.0156118985372
"246","exhaustive_test","AGB","simpleRandom",48,32.842215456607
"247","exhaustive_test","AGB","simpleRandom",49,32.1103360290841
"248","exhaustive_test","AGB","simpleRandom",50,29.8858708079897
"249","exhaustive_test","OCS","clusterGapped",1,8.05134507913443
"250","exhaustive_test","OCS","clusterGapped",2,7.96641175810237
"251","exhaustive_test","OCS","clusterGapped",3,7.72456515819941
"252","exhaustive_test","OCS","clusterGapped",4,8.08797453374231
"253","exhaustive_test","OCS","clusterGapped",5,8.22533589570563
"254","exhaustive_test","OCS","clusterGapped",6,8.33795177565327
"255","exhaustive_test","OCS","clusterGapped",7,8.06449575208685
"256","exhaustive_test","OCS","clusterGapped",8,8.10813875238116
"257","exhaustive_test","OCS","clusterGapped",9,9.87161436330722
"258","exhaustive_test","OCS","clusterGapped",10,7.78060721597874
"259","exhaustive_test","OCS","clusterGapped",11,7.94844306539449
"260","exhaustive_test","OCS","clusterGapped",12,8.45003644909377
"261","exhaustive_test","OCS","clusterGapped",13,7.89746055003217
"262","exhaustive_test","OCS","clusterGapped",14,7.85309595796052
"263","exhaustive_test","OCS","clusterGapped",15,8.8797396532811
"264","exhaustive_test","OCS","clusterGapped",16,8.1800864961155
"265","exhaustive_test","OCS","clusterGapped",17,8.00053134466113
"266","exhaustive_test","OCS","clusterGapped",18,8.46114443386326
"267","exhaustive_test","OCS","clusterGapped",19,8.39675184357931
"268","exhaustive_test","OCS","clusterGapped",20,7.97876389265732
"269","exhaustive_test","OCS","clusterGapped",21,8.0362728313844
"270","exhaustive_test","OCS","clusterGapped",22,7.72618002065658
"271","exhaustive_test","OCS","clusterGapped",23,8.33127944595964
"272","exhaustive_test","OCS","clusterGapped",24,8.38676482317625
"273","exhaustive_test","OCS","clusterGapped",25,8.18855213586073
"274","exhaustive_test","OCS","clusterGapped",26,7.92452887013905
"275","exhaustive_test","OCS","clusterGapped",27,9.47070973665476
"276","exhaustive_test","OCS","clusterGapped",28,8.13663079841078
"277","exhaustive_test","OCS","clusterGapped",29,7.8010824894135
"278","exhaustive_test","OCS","clusterGapped",30,8.39963345699794
"279","exhaustive_test","OCS","clusterGapped",31,7.76857832827715
"280","exhaustive_test","OCS","clusterGapped",32,8.24541295372133
